status	relative_path	left_size	right_size	delta_right_minus_left	left_target	right_target
different	Info.plist	1048	1048	0		
different	System/Library/PrivateFrameworks/LLDB.framework/Versions/A/LLDB	644103848	644103848	0		
different	usr/bin/docc	12739608	12739608	0		
different	usr/bin/sourcekit-lsp	88930656	88930656	0		
different	usr/bin/swift-format	20395696	20395696	0		
different	usr/bin/swift-frontend	613695104	613695104	0		
different	usr/bin/swift-package	100507864	100507864	0		
different	usr/lib/sourcekitdInProc.framework/Versions/A/sourcekitdInProc	607014256	607014256	0		
different	usr/lib/swift/appletvos/Cxx.swiftmodule/arm64-apple-tvos.private.swiftinterface	33868	33868	0		
different	usr/lib/swift/appletvos/Cxx.swiftmodule/arm64-apple-tvos.swiftdoc	13872	13872	0		
different	usr/lib/swift/appletvos/Cxx.swiftmodule/arm64-apple-tvos.swiftinterface	33868	33868	0		
different	usr/lib/swift/appletvos/Cxx.swiftmodule/arm64-apple-tvos.swiftsourceinfo	48428	48428	0		
different	usr/lib/swift/appletvos/CxxStdlib.swiftmodule/arm64-apple-tvos.private.swiftinterface	19619	19619	0		
different	usr/lib/swift/appletvos/CxxStdlib.swiftmodule/arm64-apple-tvos.swiftdoc	7100	7100	0		
different	usr/lib/swift/appletvos/CxxStdlib.swiftmodule/arm64-apple-tvos.swiftinterface	19619	19619	0		
different	usr/lib/swift/appletvos/CxxStdlib.swiftmodule/arm64-apple-tvos.swiftsourceinfo	32612	32612	0		
different	usr/lib/swift/appletvos/Distributed.swiftmodule/arm64-apple-tvos.private.swiftinterface	23304	23304	0		
different	usr/lib/swift/appletvos/Distributed.swiftmodule/arm64-apple-tvos.swiftdoc	78084	78084	0		
different	usr/lib/swift/appletvos/Distributed.swiftmodule/arm64-apple-tvos.swiftinterface	23304	23304	0		
different	usr/lib/swift/appletvos/Distributed.swiftmodule/arm64-apple-tvos.swiftmodule	89288	89288	0		
different	usr/lib/swift/appletvos/Distributed.swiftmodule/arm64-apple-tvos.swiftsourceinfo	61556	61556	0		
different	usr/lib/swift/appletvos/Observation.swiftmodule/arm64-apple-tvos.private.swiftinterface	11996	11996	0		
different	usr/lib/swift/appletvos/Observation.swiftmodule/arm64-apple-tvos.swiftdoc	8504	8504	0		
different	usr/lib/swift/appletvos/Observation.swiftmodule/arm64-apple-tvos.swiftinterface	10475	10475	0		
different	usr/lib/swift/appletvos/Observation.swiftmodule/arm64-apple-tvos.swiftmodule	99928	99928	0		
different	usr/lib/swift/appletvos/Observation.swiftmodule/arm64-apple-tvos.swiftsourceinfo	18220	18220	0		
different	usr/lib/swift/appletvos/RegexBuilder.swiftmodule/arm64-apple-tvos.private.swiftinterface	206077	206077	0		
different	usr/lib/swift/appletvos/RegexBuilder.swiftmodule/arm64-apple-tvos.swiftdoc	265756	265756	0		
different	usr/lib/swift/appletvos/RegexBuilder.swiftmodule/arm64-apple-tvos.swiftinterface	206057	206057	0		
different	usr/lib/swift/appletvos/RegexBuilder.swiftmodule/arm64-apple-tvos.swiftmodule	1231976	1231976	0		
different	usr/lib/swift/appletvos/RegexBuilder.swiftmodule/arm64-apple-tvos.swiftsourceinfo	359880	359880	0		
different	usr/lib/swift/appletvos/Swift.swiftmodule/arm64-apple-tvos.private.swiftinterface	2403116	2403116	0		
different	usr/lib/swift/appletvos/Swift.swiftmodule/arm64-apple-tvos.swiftdoc	4372260	4372260	0		
different	usr/lib/swift/appletvos/Swift.swiftmodule/arm64-apple-tvos.swiftinterface	2347702	2347702	0		
different	usr/lib/swift/appletvos/Swift.swiftmodule/arm64-apple-tvos.swiftmodule	17067144	17067144	0		
different	usr/lib/swift/appletvos/Swift.swiftmodule/arm64-apple-tvos.swiftsourceinfo	4046720	4046720	0		
different	usr/lib/swift/appletvos/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos.private.swiftinterface	1075	1075	0		
different	usr/lib/swift/appletvos/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos.swiftdoc	424	424	0		
different	usr/lib/swift/appletvos/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos.swiftinterface	1075	1075	0		
different	usr/lib/swift/appletvos/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos.swiftmodule	247972	247972	0		
